C1 	C0603_3_C0603_0.1 	0.1 	  	C0603 	99.0400 	105.6700 	180.000 	YES
C161 	C0805_0_C0402_0.1UFX50V_EMK105B 	0.1uFx50V 	  	C0402 	107.0000 	55.8000 	180.000 	NO
C164 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	86.6400 	62.2400 	0.000 	NO
C166 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	84.5800 	64.8300 	90.000 	NO
C167 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	84.5300 	67.7800 	90.000 	NO
C170 	C0805_0_C0805_47UFX6.3V 	47uFx6.3V 	  	C0805 	119.4800 	50.9200 	0.000 	NO
C171 	C0603_3_C1210_100UFX6.3V 	100uFx6.3V 	  	C1210 	86.3600 	48.2800 	90.000 	NO
C174 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	85.3700 	59.4300 	90.000 	NO
C176 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	84.5800 	62.2200 	90.000 	NO
C179 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	31.2800 	11.3100 	90.000 	YES
C180 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	78.1800 	66.6100 	270.000 	NO
C181 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	82.5900 	68.6600 	0.000 	NO
C182 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	78.6800 	68.7500 	180.000 	NO
C184 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	80.0700 	71.2300 	0.000 	NO
C185 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	82.1900 	70.6300 	90.000 	NO
C186 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	76.5900 	69.4000 	270.000 	NO
C187 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	73.8000 	59.9300 	90.000 	NO
C188 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	73.8300 	62.9500 	270.000 	NO
C189 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	76.5400 	67.3400 	270.000 	NO
C190 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	60.2200 	63.4400 	180.000 	NO
C191 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	54.5100 	70.4900 	0.000 	NO
C193 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	65.7000 	96.2000 	270.000 	YES
C194 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	63.6500 	93.0400 	90.000 	YES
C195 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	68.4000 	88.1000 	270.000 	YES
C196 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	63.6700 	86.8700 	90.000 	YES
C197 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	59.1800 	85.8200 	270.000 	YES
C198 	C0805_1_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	66.2000 	91.6000 	0.000 	NO
C199 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	66.2000 	93.1000 	0.000 	NO
C200 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	66.1000 	88.6000 	0.000 	NO
C201 	C0805_1_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	66.1000 	87.1000 	0.000 	NO
C202 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	68.1000 	82.0000 	270.000 	YES
C203 	C0805_1_C0603_DP 	DP 	  	C0603 	58.8000 	92.9700 	180.000 	NO
C204 	C0805_1_C0603_10UFX50V 	10uFx50V 	  	C0603 	61.3000 	77.5000 	0.000 	YES
C205 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	61.1900 	76.0600 	0.000 	YES
C206 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	65.2000 	82.1000 	270.000 	YES
C207 	C0805_1_C0603_10UFX50V 	10uFx50V 	  	C0603 	65.2000 	82.1000 	90.000 	NO
C208 	C0805_1_C0603_10UFX50V 	10uFx50V 	  	C0603 	69.2000 	72.4100 	90.000 	YES
C209 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	67.7600 	72.3700 	90.000 	YES
C210 	C0603_3_C0603_0.47UFX6.3V 	0.47uFx6.3V 	  	C0603 	105.2500 	42.6000 	90.000 	NO
C211 	C0805_0_C0402_22PFX50V 	22pFx50V 	  	C0402 	98.2000 	36.8000 	180.000 	YES
C212 	C0805_0_C0402_22PFX50V 	22pFx50V 	  	C0402 	98.2000 	35.4000 	180.000 	YES
C213 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	95.4000 	33.3000 	270.000 	NO
C214 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	87.8000 	34.7000 	180.000 	NO
C215 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	86.6000 	37.0100 	0.000 	YES
C216 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	97.1900 	39.5800 	0.000 	NO
C217 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	86.6000 	37.0000 	180.000 	NO
C218 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	93.5000 	43.6000 	90.000 	NO
C219 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	90.9000 	35.4000 	90.000 	NO
C220 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	91.7000 	41.0000 	270.000 	NO
C221 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	88.2000 	39.5000 	0.000 	NO
C222 	C0603_3_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	94.6000 	39.4000 	180.000 	NO
C223 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	89.1000 	36.1000 	0.000 	NO
C224 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	94.7000 	37.6000 	180.000 	NO
C225 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	89.1700 	38.0400 	0.000 	NO
C226 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	88.8300 	41.2900 	270.000 	NO
C227 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	93.1000 	35.4000 	90.000 	NO
C228 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	101.4300 	34.7100 	0.000 	NO
C229 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	101.4700 	29.4800 	0.000 	NO
C230 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	101.4900 	27.7600 	0.000 	NO
C231 	100NF, 10V, X7R, 10%, 0402_4_C1 	1000pFx2000V 	  	C1206 	116.7900 	25.4100 	90.000 	YES
C232 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	101.4100 	36.1800 	0.000 	NO
C233 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	96.9900 	100.7000 	270.000 	YES
C234 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	99.3300 	101.0100 	180.000 	YES
C235 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	90.8600 	99.7600 	90.000 	YES
C236 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	92.1000 	105.3000 	270.000 	YES
C237 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	93.2400 	116.1200 	0.000 	NO
C238 	C0603_3_C0603_2.2UFX16V 	2.2uFx16V 	  	C0603 	101.7100 	99.5900 	180.000 	YES
C239 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	87.0000 	104.5400 	0.000 	YES
C240 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	101.1400 	77.3400 	0.000 	NO
C241 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	101.1100 	78.8000 	0.000 	NO
C242 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	25.8600 	18.5400 	270.000 	YES
C244 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	80.9500 	32.0500 	90.000 	YES
C245 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	82.0400 	34.2700 	180.000 	YES
C246 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	76.8100 	101.7900 	180.000 	NO
C247 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	76.8000 	104.0400 	180.000 	NO
C248 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	74.5700 	33.4300 	0.000 	YES
C249 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	76.2000 	31.6100 	90.000 	YES
C250 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	62.7900 	74.0000 	270.000 	NO
C251 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	60.9000 	66.6700 	0.000 	NO
C252 	C0805_0_C0402_4.7UFX6.3V 	4.7uFx6.3V 	  	C0402 	66.9700 	65.7600 	180.000 	YES
C253 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	62.1500 	63.5100 	90.000 	NO
C254 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	98.5800 	53.4700 	270.000 	NO
C255 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	135.7100 	37.4000 	270.000 	YES
C256 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	99.9500 	97.1900 	0.000 	YES
C257 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	93.0200 	65.3900 	0.000 	NO
C258 	C0603_3_C0402_0.47UFX6.3V 	0.47uFx6.3V 	  	C0402 	95.8400 	67.3600 	0.000 	NO
C11_1 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	74.5000 	44.9000 	180.000 	NO
C11_2 	100NF, 10V, X7R, 10%, 0402_3_C0 	22pFx50V 	  	C0402 	71.3500 	42.0500 	90.000 	NO
C11_3 	C0805_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	78.3800 	39.0000 	180.000 	NO
C11_4 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	74.3000 	42.0000 	180.000 	NO
C11_5 	100NF, 10V, X7R, 10%, 0402_3_C0 	22pFx50V 	  	C0402 	74.3500 	38.8400 	0.000 	NO
C11_6 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	74.3900 	43.4700 	180.000 	NO
C11_7 	C0805_0_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	76.1200 	39.3800 	270.000 	NO
C185_1 	C0603_3_C0402_0.1UFX50V 	0.1uFx50V 	  	C0402 	75.7800 	71.4700 	90.000 	NO
C1_1 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	42.7000 	24.7000 	90.000 	NO
C1_2 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	51.1000 	23.3000 	90.000 	NO
C1_3 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	31.8000 	24.8000 	90.000 	NO
C1_4 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	24.3000 	24.9000 	90.000 	NO
C1_5 	C_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	36.7000 	32.2000 	90.000 	NO
C1_6 	C_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	50.6000 	28.7000 	90.000 	NO
C1_7 	C_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	30.6000 	29.5000 	180.000 	NO
C1_8 	C0805_0_C0603_4.7UFX16V 	4.7uFx16V 	  	C0603 	41.2000 	24.7000 	90.000 	NO
C1_9 	C0805_0_C0603_4.7UFX16V 	4.7uFx16V 	  	C0603 	49.4000 	23.3000 	90.000 	NO
C1_10 	C0805_0_C0603_4.7UFX16V 	4.7uFx16V 	  	C0603 	30.3000 	24.8000 	90.000 	NO
C1_11 	C0805_0_C0603_4.7UFX16V 	4.7uFx16V 	  	C0603 	22.8000 	24.9000 	90.000 	NO
C1_12 	C_C2220_1UFX250V 	1uFx250V 	  	C2220 	55.1000 	31.7000 	90.000 	NO
C1_13 	C_C2220_1UFX250V 	1uFx250V 	  	C2220 	44.3000 	32.0000 	90.000 	NO
C1_14 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	46.6000 	30.1000 	270.000 	YES
C1_15 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	40.1490 	27.3000 	270.000 	YES
C1_16 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	30.9600 	25.0800 	90.000 	YES
C1_17 	C0603_3_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	23.7000 	23.8000 	90.000 	YES
C1_18 	C_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	31.3000 	29.9000 	270.000 	YES
C1_19 	C_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	20.4000 	30.3000 	270.000 	YES
C1_20 	C_C1206_0.1UFX250V 	0.1uFx250V 	  	C1206 	37.7000 	32.2000 	180.000 	YES
C1_21 	C0805_0_C0603_4.7UFX25V 	4.7uFx25V 	  	C0603 	44.8000 	23.5490 	0.000 	YES
C1_22 	C0805_0_C0603_4.7UFX25V 	4.7uFx25V 	  	C0603 	41.6490 	27.3000 	270.000 	YES
C1_23 	C0805_0_C0603_4.7UFX25V 	4.7uFx25V 	  	C0603 	32.4500 	25.0700 	90.000 	YES
C1_24 	C0805_0_C0603_4.7UFX25V 	4.7uFx25V 	  	C0603 	22.4000 	28.6000 	270.000 	YES
C1_25 	C_C2220_1UFX250V 	1uFx250V 	  	C2220 	10.4000 	42.3000 	180.000 	YES
C1_26 	C_C2220_1UFX250V 	1uFx250V 	  	C2220 	26.4000 	31.8000 	270.000 	YES
C1_27 	C_C1206_DP 	DP 	  	C1206 	32.6000 	48.4000 	0.000 	NO
C1_29 	C_C1206_DP 	DP 	  	C1206 	24.6000 	59.1000 	180.000 	YES
C1_240 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	58.0800 	21.2000 	0.000 	YES
C1_241 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	15.3000 	29.0000 	270.000 	NO
C2_1 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	16.7000 	94.9000 	0.000 	NO
C2_2 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	20.5000 	80.8000 	90.000 	NO
C2_3 	C0805_1_C0603_5PF 	5pF 	  	C0603 	28.3000 	75.4000 	270.000 	YES
C2_4 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	44.6000 	75.2000 	0.000 	YES
C2_5 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	28.7000 	96.0000 	270.000 	NO
C2_6 	CP B_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	35.5000 	79.0000 	180.000 	YES
C2_7 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	34.0000 	81.8000 	0.000 	YES
C2_8 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	44.5000 	80.3000 	0.000 	YES
C2_9 	C0805_1_C0603_0.1UFX50V 	0.1uFx50V 	  	C0603 	28.3000 	80.9000 	180.000 	YES
C2_10 	CP B_0_C0603_10UFX6.3V 	10uFx6.3V 	  	C0603 	28.3000 	79.2000 	180.000 	YES
